,PostalCode,Borough,Neighbourhood,address
93,M9A,Etobicoke,Islington Avenue,"M9A, Etobicoke, Islington Avenue"
94,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park","M9B, Etobicoke, Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park"
95,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe","M9C, Etobicoke, Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe"
96,M9L,NorthYork,Humber Summit,"M9L, NorthYork, Humber Summit"
97,M9M,NorthYork,"Emery,Humberlea","M9M, NorthYork, Emery,Humberlea"
98,M9N,York,Weston,"M9N, York, Weston"
99,M9P,Etobicoke,Westmount,"M9P, Etobicoke, Westmount"
100,M9R,Etobicoke,"Kingsview Village,Martin Grove Gardens,Richview Gardens,St. Phillips","M9R, Etobicoke, Kingsview Village,Martin Grove Gardens,Richview Gardens,St. Phillips"
101,M9V,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown","M9V, Etobicoke, Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown"
102,M9W,Etobicoke,Northwest,"M9W, Etobicoke, Northwest"
